;@qpcr:group;;;;;@qpcr:group;;;;;@qpcr:group;;;;
Target;Dog 2 NormalCt;Dog 7 Normal Ct;Dog 11 Normal Ct;Dog 24 Normal Ct;Dog 28 Normal Ct;Dog 5 Mild Ct;Dog 8 Mild Ct;Dog 13 Mild Ct;Dog 15 Mild Ct;Dog 16 Mild Ct;Dog 14 Severe Ct;Dog 23 Severe Ct;Dog 25 Severe Ct;Dog 29 Severe Ct;Dog 30 Severe Ct
miR-424;35.005898;31.941528;32.25139;34.642254;30.035728;30.982836;32.371536;32.288715;29.671385;32.689655;32.54026;31.965847;35.456776;35.292545;31.72713
miR-300;40;40;40;35.334644;33.6091;35.551727;34.519474;40;34.90213;40;40;40;35.53846;35.51287;35.589596
miR-329b;40;34.6963;34.726578;40;35.530746;40;35.57266;40;34.601334;40;40;35.48348;40;40;40
miR-514;40;40;40;40;29.787725;40;35.144356;40;40;40;40;40;40;40;40
miR-301a;40;34.812283;34.936768;40;31.981256;35.331238;33.87377;35.539547;32.026203;35.46406;35.512054;40;40;40;32.276722
miR-1307;32.548576;29.484268;30.032673;31.81308;26.33919;29.299425;29.827724;30.802328;28.137173;30.950449;32.50525;29.36444;33.924572;33.173862;30.134989
miR-152;29.008854;27.45617;28.369171;32.34435;29.081015;27.388964;28.235975;28.15299;26.380733;30.1677;32.167603;28.77811;32.99444;32.188553;27.998304
miR-325;40;34.7974;34.665333;34.952698;34.57666;35.28055;40;34.742847;34.390457;35.08728;40;33.030884;34.36605;40;34.847202
miR-197;29.822632;27.313835;28.412434;32.86187;28.35533;27.395088;27.915073;28.014097;27.230003;30.014402;32.24295;28.143885;31.934525;31.968018;28.273987
miR-30a;31.437023;27.201883;28.41953;34.25428;28.224241;27.882221;28.833538;28.622957;27.187479;30.274973;32.73471;29.19396;33.12343;32.77307;28.403315
miR-551b;40;40;40;40;32.169678;40;34.806023;35.48155;40;32.49734;40;40;40;40;34.97731
